userName,content,at,score
Ucu Ida,untuk saat ini puas,2023-06-10 16:48:30,4
Imam Baihaqi,semakin didepan,2023-06-10 16:47:10,5
Edgar Adi tama,Bagus,2023-06-10 16:42:40,5
Ridky Fadillah Ikyu,Lazada Kon bikin iklan kek anjg,2023-06-10 16:42:17,1
Hadi Nugraha Maulana,"LEL Express anda kurirnya tidak sopan Ada paket nyasar di rumah saya, suruh kurirnya balik lagi. Yg Nerima org tua saya umur 60 Thn, karna nama depan penerima paket sama dengan anak nya. Tidak sengaja ke terima dan kurir hanya menyebutkan nama depan si pemilik paket mana COD dan org tua saya yg menalangi. Suruh balik lg tuh kurir. Telpon ke CS gak ada jawaban. Baca email saya Lazada...",2023-06-10 16:42:16,4
Herman Sulistyo,mantap,2023-06-10 16:42:13,5
Fuji Astuti,Kasih ranting 3 dl kl bgus ntr tambah lg bintangnya,2023-06-10 16:42:09,3
Rojeck wik,lazada baik,2023-06-10 16:41:15,5
Sony Frandy,senang belanja di lazada. semoga amanah,2023-06-10 16:35:48,5
Servis Servis,Suka,2023-06-10 16:34:39,5
Bang Dra,ongkirnya terlalu mahal,2023-06-10 16:34:36,3
Deningrat Ki gede,terima kasih Lazada,2023-06-10 16:28:59,5
Kayra Star ponsel,memuaskan,2023-06-10 16:28:28,5
Eka Dian,bagus,2023-06-10 16:28:12,5
Amar Albaihaqi,Lumayan,2023-06-10 16:27:29,4
Jefri Kurniawan,krennn,2023-06-10 16:25:33,5
Silva Puspita,bgus,2023-06-10 16:23:38,2
Sriharjanti Samsung,semoga suksez sllu lazada,2023-06-10 16:14:32,5
Rizki fakih,Limit ku naik tp paylater tak bs digunakan Percuma...... Uninstall aja lah...,2023-06-10 16:13:14,1
Asep Hidayat23,Oke,2023-06-10 16:12:06,5
Sandi Sentol99,👍👍,2023-06-10 16:11:13,4
Ghifari Nuansa,4 dl blm sampe,2023-06-10 16:10:11,4
Diaz gaming,Jangan ada iklan,2023-06-10 16:05:05,1
Rakit,sangat puas,2023-06-10 16:03:00,5
Sarif Udin,Good,2023-06-10 15:55:15,5
Qafisha 12,bagus baikkk,2023-06-10 15:50:19,5
Ervina Aoi,Tidak benar dan selalu menganggu dengan iklan yang tidak masuk akal,2023-06-10 15:46:51,1
DICKI SUPRIYADI,okr,2023-06-10 15:40:35,5
Susi Hartati,pengguna baru😊 semoga tdak mengecewakan👍,2023-06-10 15:38:46,5
Cahyana09 Yana,Jelk banyak iklan,2023-06-10 15:38:20,1
Aban Sobandi,saya sangat senang belanja di lazada,2023-06-10 15:35:13,5
jay jaya,Amanah cepat dan respon baik. No ribwt,2023-06-10 15:32:07,5
Era Aprianto,mantaf,2023-06-10 15:30:04,5
Arief Adjha,"Awal nya saya kasih bintang 1,,setelah mudah belanja pakai paylater.. Upsbintang 5 wkwkkwkwkk",2023-06-10 15:26:35,5
Erik Tomas,Ok,2023-06-10 15:26:34,5
Rostia Ningsih,lazada pokoknya is the best🙏,2023-06-10 15:24:58,3
Siti Khotijah,bagus bangett,2023-06-10 15:24:17,5
Arjoni Anto,sangat puas belanja,2023-06-10 15:23:28,5
Zainal Abidin,recommended banget,2023-06-10 15:21:49,5
Riki Mbo,Kenapa sistem pembayar cod sayah di Seto sayah kan gak bisah belanja online lagi gimana sih 😠🙁🤬,2023-06-10 15:21:30,1
Febrian Bian,mantap,2023-06-10 15:21:20,5
Junaidi Edi,"lazada amanah, dah ber xx belanja di lazada,",2023-06-10 15:15:13,5
Nazar Aditya,msih pengguna baru jd ne pertama x blnja.mudah2an memuaskan,2023-06-10 15:13:53,5
Ghofurradmi,mantull,2023-06-10 15:13:36,5
Rian Hendriansah,baik,2023-06-10 15:13:00,5
Muhammad ali Hussen,"Babi, iklannya dimana"". Ganggu aja",2023-06-10 15:09:58,1
Imam Iskandar,okeh,2023-06-10 15:09:43,2
Khomsin Khasani,pengiriman cepat dan barang sesuai gambar jg harga,2023-06-10 15:09:07,5
Misna Dompu,saya suka,2023-06-10 15:08:17,5
ifah Latifah,bukunya kereennnn,2023-06-10 15:06:32,5
Nnde Ramayana,makasih,2023-06-10 15:06:06,5
jaensien jaendoen,wow keren banget sih,2023-06-10 15:05:29,5
Gari Gari,Mantap aplikasi nya bagus.....,2023-06-10 15:03:56,5
Mp ambarita,"apk bagus banget ,cuman aneh punya saya gk bisa pake voucher gratis ongkir",2023-06-10 15:03:33,5
Mulyono Yono,alhamdulilah setiap saya pesan tidak mengecewakan,2023-06-10 15:02:43,5
shalisya fedhira,puas,2023-06-10 15:01:45,4
Arfin B,Lagi nya bikin gak nyaman main,2023-06-10 15:01:22,1
Bambang Wanto,I like Lazada,2023-06-10 14:59:16,5
renny rosmawati,Ok,2023-06-10 14:56:57,5
Ipah Kurnia,sangat puas sya blanja ny diskon...,2023-06-10 14:56:51,5
Ifa Ifa,sll berlganan,2023-06-10 14:54:30,1
Arman Sisil,ok,2023-06-10 14:54:11,4
Muliana Habib,"memenuhi minat pembeli,lazada it's ok",2023-06-10 14:53:54,5
Jangan mengambil Data informasiku,Banyak penjual menipu harusnya diblokir tuh selama 1 bulan,2023-06-10 14:51:47,5
Yutube Pemula,🤔🤔🤔🤔🤔...???,2023-06-10 14:50:07,5
Melwani Saras234,Mantab belanja di lazada.murah meriah,2023-06-10 14:49:01,5
Hani maryani,layanan di lazada sangat baik dan memuaskan kurir nya pun sangat ramah,2023-06-10 14:47:23,5
Depi Lespiana,sangat bagus,2023-06-10 14:47:22,5
Firga Firga,ok,2023-06-10 14:46:43,5
Zainal Mubarok,Mantap.....,2023-06-10 14:43:23,5
Xun'er,"Sangat memuaskan , sukses selalu Lazada , janga lupa mudahkan untuk lazpayleter nya.",2023-06-10 14:43:17,5
gunawan saputra,cukup,2023-06-10 14:43:08,4
Dedehatob Dedehatob,mantap,2023-06-10 14:41:47,5
iwan kj,"skarg punya sya untuk semua jenis brang gda yg bisa cod, pdahl punya tmen sya masih ada",2023-06-10 14:40:55,1
Neng Shinta Znttia,bagusss,2023-06-10 14:38:22,5
Juhri Maulana,sangat puas sekali,2023-06-10 14:35:06,5
Ali Winarko,bagus,2023-06-10 14:33:34,5
sahruli Arul,bagus banget,2023-06-10 14:33:00,4
Fuad Fatih,selalu belanja disini ...,2023-06-10 14:32:19,5
Amat muji,saya suka,2023-06-10 14:31:52,5
Josep Kurniawan,Banyak diskon..lancar pesanan..cepat pengiriman,2023-06-10 14:30:41,5
Adi Mulyadi,Ok,2023-06-10 14:28:58,5
Octho Nurkhan,Saya kecewa berat,2023-06-10 14:25:34,5
Nur Halimah,Aplikasi ini jelek ko saya gax bisa cod,2023-06-10 14:24:03,1
Sya Aja,AGUA EKO,2023-06-10 14:23:52,4
A rulli Budianti,Shopping mudah dan praktis,2023-06-10 14:20:41,5
Nailalaila Laila,bagus pokoknya,2023-06-10 14:16:47,5
Yoseph Widyantoro,seller lebih banyak... proses cepat..lacak pengiriman ..mudah,2023-06-10 14:16:16,5
Iyok Iyok uhuy,mntap,2023-06-10 14:15:34,5
Fitri Indriani,terimakasih lazada selalu memberikan produk yang terbaik,2023-06-10 14:15:24,5
ujang darso,kerennnn,2023-06-10 14:14:27,5
Awan Muftri,mantap belanja di lazada,2023-06-10 14:13:58,5
Kadek Dogol,I L,2023-06-10 14:13:12,5
Herlambang Jalu,"pelayanan sudah bagus, mohon dipertahankan 🙏🙏🙏🙏🙏",2023-06-10 14:10:21,5
Rangga Saputra,Bagus,2023-06-10 14:10:06,5
clemira kids tv,oke oke,2023-06-10 14:09:05,4
Suratmi Suratmi,Mantap lazada deh,2023-06-10 14:07:44,5
Den_378 Sugie,top,2023-06-10 14:07:04,5
Choirotul Armalah,ok,2023-06-10 14:05:53,4
Anggi PurnamA,ok,2023-06-10 14:05:16,5
Agus Ganting,👍👍👍👍👍👍👍,2023-06-10 14:04:22,5
Sukidi Kidi,Lazada emng tahik buat alamat aja g bisa udh di buat TPI ilang mulu,2023-06-10 14:02:07,1
Yoshi Nanda,saya kasih bintang 3 dulu karena baru mau coba belanja...semoga amanah...,2023-06-10 14:01:54,3
Azel Saktiawan,"trimah kasih lazada, sudah menyediakan berbagai macam kebutuhan masyarkat",2023-06-10 14:01:20,5
Sarno pak e amel,Biarkan bintang yg bicara.. Sudah banyak sekali barang yg saya beli dari aplikasi ini...,2023-06-10 14:00:47,5
Linda Fauziah,belanja Di lazada alhamdulillah mudah sungguh Sangat membantu... top sukses selalu buat lazada...,2023-06-10 14:00:19,5
Tongatz ID,"Kenapa min, akun Saya tidak dapat melakukan pembayaran cod",2023-06-10 13:59:53,5
Ria Nurini putri,"baru pertama kali beli kopi rube, semoga khasiat nya tidak mengecewakan",2023-06-10 13:58:31,5
Sanih Lusiana lusiana,barang enga Cocok nih saya pesan ulang OPPO A 57 benerga yg di Atar malah Hp Bodong trizi yg betul dong jualan nye,2023-06-10 13:58:31,5
Ita Siti Nurmaya,mantap,2023-06-10 13:55:57,5
Rahmat Hidayat Rahmat,terimakasih telah melayani pembelian dengan baik,2023-06-10 13:55:52,5
Sugianto Iyan,Kenapa lazada ga bisa cod di alamat saya padahal sya yg sellu kena tipu dri lazada sya lcd hp yg dikirim powerband rusak,2023-06-10 13:52:07,3
Supriyanti Purwoto,"respon cepat dari toko n laznya,pengirimannya jg",2023-06-10 13:51:33,5
Yuli Yanti,b agus,2023-06-10 13:50:25,2
Dwii Skuy,amanah banget jadi 5 aja keknya bagus,2023-06-10 13:50:15,5
Rasip Gareng,Mantap,2023-06-10 13:49:49,5
Duta Riski,sangat ber kualitas,2023-06-10 13:48:46,5
Adearif Satriani,ya bagus.. cepat nyampe,2023-06-10 13:48:41,2
Nurma Yanti,mantap,2023-06-10 13:47:36,3
ferry zahrudin,bagus,2023-06-10 13:47:01,5
Andes Putra utama,bintang 4 aja dulu. karena ada mesan kemaren reselernya gak konsisten dengan barang yang dikirimnya,2023-06-10 13:43:59,4
Yusri Yusri,sangat puas,2023-06-10 13:40:06,5
sutikno aja,mantap,2023-06-10 13:39:35,5
Hendi,lazada mantap,2023-06-10 13:39:04,5
Rahmad Saleh,keren,2023-06-10 13:37:38,1
Tkm M,memuaskan,2023-06-10 13:37:37,4
Ruvi Lila,Memang sy tidak nyaman sekali..saya sampe 3x pesan di batalkan otomatis..bayar di minimarket selalu server bermasalah..dr pagi sampe sore sy bulak balik minimarket selalu server bermasalah..sy sudah antri di kasir lama.. Aplikasi anda lelet,2023-06-10 13:36:54,1
Zaini Minung,"Kenapa sering error dipesanan GK ada hasil pesanan tiba"" pesanan menjadi 3 padahal cuma 1 barang yang dibeli",2023-06-10 13:36:52,1
Nikel Empatgiga,"Parahh biaya keterlambatan pembayaran g manusiawi,,telat seminggu 40ribu lebih,kapokkkkk",2023-06-10 13:35:52,1
Yatiandriyati32 Yati,H yang tidak pernah tahu yang terbaik bagi pelanggan,2023-06-10 13:34:50,5
Nur Habibah,"Kenapa sekarang kok sering eror ya, padahal selalu update loh.",2023-06-10 13:34:37,2
Jack Panggayana,Bagus terima kasih :),2023-06-10 13:33:58,5
Asiah Aas,"Knp sekarang lazada sering sekali ,ganti pin,",2023-06-10 13:33:49,1
Kholik Munazar,Bagus sihh ini aplikasi.. Tapi sayang masih banyak penipuan di lazada,2023-06-10 13:31:48,5
Novi nur Oktafiani,bagus,2023-06-10 13:31:21,4
Gibran Gemoy,👍,2023-06-10 13:28:36,5
nurhayati Lamlo,Sangat Memuaskan,2023-06-10 13:25:27,5
Nur Linah,Belanja d lazada ok dah,2023-06-10 13:23:44,5
Arianto Ns,Yyy,2023-06-10 13:22:40,5
Lukman Nul hakim,baguss,2023-06-10 13:20:24,5
Widya Astutik,kataku banyakin promo min,2023-06-10 13:20:21,5
Saptunah Tunah,selalu puas belanja d Lazada,2023-06-10 13:19:58,5
Roni kurniawan,"Apa nih masa gada metode pembayaran cod , makin kesini bkn makin bagus malah bikin kecewa",2023-06-10 13:19:07,2
Sevas Serhe,lazada mantap,2023-06-10 13:18:14,5
Puji Wijatmoko,Hapus saja/unistal ikalnya terpasang di mana2 bikin emosi heran nempel di mana2 pake biyaya penangan an 1000 lagi sekarang,2023-06-10 13:17:44,1
Acill Serett,bagus,2023-06-10 13:17:44,5
Rudii01 Rudi,ʙɢᴜss,2023-06-10 13:17:20,5
Ayou Ls,murah2 barangnya.. klo bs gratis ongkir donkkk,2023-06-10 13:14:49,5
Tutik Alafiah,Gatau pengen tulis apa🗿,2023-06-10 13:13:13,5
Awan Darmawan,ok,2023-06-10 13:12:57,4
Erni Yulianti,👍🏻👍🏻👍🏻👍🏻👍🏻,2023-06-10 13:10:21,5
Ismad 996,sangat siksa dengan produk produk nya,2023-06-10 13:08:59,5
Saepudin Bule,baik,2023-06-10 13:07:47,4
Marsa Noviani,baik sekali🥰,2023-06-10 13:07:01,5
Andri Riyanta,utk pesanan mata pisau serutnya bagus . kurir ramah. trimksih lazada.,2023-06-10 13:05:57,5
Bileng Hiu,matap lazada,2023-06-10 13:05:15,5
KANATA Kei,Sekarang Lazada sudah keren,2023-06-10 13:03:51,5
kardian muhamad,angkat sangat bagus,2023-06-10 13:02:06,5
Sowan Channel,bagus,2023-06-10 13:01:37,5
Futikha,Aplikasi paling jelek banyak iklan sehingga sering terjadi ga sengaja keklik pesanan,2023-06-10 13:01:24,1
Dani Dragon,Ko jadi berantakan pesan sama iklan promo jadi 1. Beda dari sebelumnya pesan sama yang lain terpisah. Skrg buka pesan jadi bernatakan makin lama malah makin parah padahal saya pengguna Lazada sudah 8 tahun,2023-06-10 13:01:14,1
Nur Aziez,Ajib,2023-06-10 12:59:44,5
Yusman Aja,satu bintang dlu nti klw pesannya da tiba dan kwalitas memuaskan baru di tambah,2023-06-10 12:59:13,1
Nurul Anwar,semoga baik,2023-06-10 12:57:18,4
Alka Alfarizi,Semoga lazada makin sukses dan tidak memberi ruang ke pada celer yg tidak bertanggung jawab.🙏🙏,2023-06-10 12:55:09,5
Nafisah Nuragustin,Apli kasi nini butut,2023-06-10 12:54:43,5
Momon 22,bagus sekali,2023-06-10 12:51:38,4
Darius Aja,sangat mantap,2023-06-10 12:51:22,5
Fito Raditya,Gentot,2023-06-10 12:51:19,5
Fita Rochayanti,suka deh belanja di lazada..👍👍,2023-06-10 12:50:50,5
RAFI Arif Faturrahman,tolong dong lazpaylater saya aktifkan lagi.karena gak bisa dipake padahal limit gede dan saya selalu bayar tepat waktu....,2023-06-10 12:50:07,5
Ani Khoerunisa,"Tiba"" Lazpaylater saya dinonaktifkan padahal saya tidak prnh nunggak bayar.",2023-06-10 12:46:45,2
Tri Setiawan,semoga tokonya amanah....,2023-06-10 12:42:24,4
james jo,good,2023-06-10 12:41:16,5
Afif Alfarizi,Ok,2023-06-10 12:40:08,5
Klari Ckm,ok,2023-06-10 12:39:29,5
Nyoman budi Ardika,Lazada pilihan tepat untuk blanja online tp kurangnya Jenis produk yg di jual serta Saya harap adanya proteksi untuk pembeli dr penjual nakal sehingga tidak Ada penipuan,2023-06-10 12:39:07,5
Dias Dafa,semoga tambah jaya,2023-06-10 12:38:05,5
Dzulfikar Ghadafi,Voucer gratis ongkirnya ko ga ada lagi padahal kemarin kemarin ada terus ?,2023-06-10 12:37:15,5
Uum Komariah,"Ga bener ah yg jual pulsa,masa pas flash sale udah d bayar,eehhh..ga lama d kembalikan..kan ga etis..kaya yang ga mau rugi..kalu hitu jangan donk ngadain flash sale,ujung2 nya d balikin ,pas beli lagi harga normal..😂😂bikim kecewa pelanggan aja.",2023-06-10 12:37:12,4
Nafi Ahmad,pilihan yang tepat buat belanja online,2023-06-10 12:36:35,4
akun goggle,Kontoll dimunculkan terus notiv iklan kaya gini,2023-06-10 12:35:12,1
toing gaspol,bagus,2023-06-10 12:33:53,4
ilminazilaisnaini isnaini,"lazada top,pengiriman cepat dn ramah ramah kurirnya,",2023-06-10 12:33:26,5
Eka Wahyuni,kurirxa sopan,2023-06-10 12:32:11,5
Nor Nor,ok,2023-06-10 12:31:49,5
Yusra Rabbani,Selamat malam lazada saya mau retur paket caranya gimana..,2023-06-10 12:29:41,5
limpol babi,ok,2023-06-10 12:28:05,1
Anis Sp,luar biasa,2023-06-10 12:23:43,5
comink binata,Lazada emang oke bos.....,2023-06-10 12:21:36,5
H. Mayor,Enjelina mAyor,2023-06-10 12:21:13,5
Rahman Putrabungsu,"Kenapa lalot. Dan klw bisa pengirimannya melalui Ninja aja ke Sulawesi tengah, kab, Donggala, kec, sojol utara soalnya pengiriman paling cepat",2023-06-10 12:20:49,2
Bilqis sadewi,ok,2023-06-10 12:19:54,5
BANK CHANNEL TV,mantap,2023-06-10 12:19:53,5
Muhammad Arif,cepat respon,2023-06-10 12:19:21,5
Manuel imanuel,"Sekian lama ga pake, tertarik karena lihat iklan menggiurkan vouchernya ternyata sama aja ga bisa pake",2023-06-10 12:19:18,1
Redmi 6a,ko untuk pengiriman lama,2023-06-10 12:13:28,5
hasnaifal 88,"👍👍👍 ongkir nya murah trus juga banyak promo pokok nya topp deh , apalagi promo pengguna pertama",2023-06-10 12:12:55,5
Jonathan Joo,Bahannya sangat bagus dan lembut ketika di pakai😍😍,2023-06-10 12:12:16,5
Eko Yulianto,sangat baik,2023-06-10 12:12:00,5
Tisen Aktisen,lazada good,2023-06-10 12:11:50,5
Tsujito 691,bagus,2023-06-10 12:10:42,4
hera hera,apk asu gjls,2023-06-10 12:08:25,1
Irma masulili masulili,"Metode pembayaran lewat indomart tidak tersedia,sedih dan juga kecewa 😢😞",2023-06-10 12:08:08,5
Adrian Alfarizi,suka sekali,2023-06-10 12:07:02,5
Raif Raif,top,2023-06-10 12:06:19,5
Adiba,lazada oke bngt👍👍,2023-06-10 12:04:23,5
Trader Binary,mantap,2023-06-10 12:03:46,5
Yumna Fariha,mantap,2023-06-10 12:02:07,5
Rukayah89 Nasa,Kenapa lama bgt sih atome menonaktipkan sementara paylater nya padahal saya mau belanja kebutuhan sekolah...nilai kredit bagus aja masih di ginian gmn yg kredit nya jelek,2023-06-10 11:59:41,4
Imam Buhori,baik,2023-06-10 11:59:34,5
Gosun Manisun,Mantep,2023-06-10 11:59:18,5
Miftahul Huda,baikbaik saja dan sangat baik,2023-06-10 11:58:53,5
Kuljo Kuljo Ajja,good,2023-06-10 11:58:34,5
Alfiyah Abdulloh,mantap,2023-06-10 11:58:18,5
Retno Suryani,bgussssssss bgtt,2023-06-10 11:56:25,5
Tyo mujie bird farm,cukup puas,2023-06-10 11:55:24,4
Adelia Adel,ok,2023-06-10 11:54:37,5
Agus Suhendi,good,2023-06-10 11:52:24,5
Dewi Kandita,Tolong tindak tegas para seler yg suka ngurangi timbangan dong. Kasih harga promo timbangan dikurangi lbh dr 50% akhirnya lbh mahal dr harga normal dong,2023-06-10 11:50:05,5
Safaria Riani,Mantapss Mas Bro,2023-06-10 11:45:40,5
hunimoa pn,respon nya cepat,2023-06-10 11:45:39,5
Febrian Mulya A,Aceng Aceng Aceng YATNO Aceng Aceng Aceng Aceng,2023-06-10 11:45:14,1
Isawdi Wadi,Coba lagi,2023-06-10 11:44:39,5
Niarti Neneng,barangnya sdh smapi bagus baget,2023-06-10 11:42:36,5
Lulu Badriyah,baik,2023-06-10 11:42:05,5
Rikardo Tiopan,minyak wangi,2023-06-10 11:41:52,5
Ina Marlina,paket nyah udah nyampe dan aman terimakasih Lazada,2023-06-10 11:41:14,5
Ata Muhtadin,mantap,2023-06-10 11:39:39,5
Aank Eded,baik,2023-06-10 11:36:55,5
Bambang Soeprianto,ok,2023-06-10 11:36:38,5
Fira Yunita,ini lazada jualan apa sedekah sih kok ngasih vocher banyak banget belanjaanku jadi murah murahkan vocernya ngasih potongan harga nggak pelit pelit jadi suka deh belanja di lazada...i love you lazadaaa,2023-06-10 11:36:08,5
Adi Efendi,Taik ada trus saat mau download ganggu sekali,2023-06-10 11:34:59,1
Nk devani Samaria,sukaaaaa,2023-06-10 11:33:11,5
Zoes Mabir,ok,2023-06-10 11:30:28,5
Yadi Abdul fatah,ayo belanja di lazada,2023-06-10 11:30:18,5
Indra Jayalesmana,uya bgus,2023-06-10 11:29:30,5
Yogi Perwira,"jangan ragu untuk memesan barang di Lazada,tips sebelum memesan baca ulasan dan deskripsinya dulu biar ngga ada unsur tipu-tipu",2023-06-10 11:29:25,4
Ngatijah Kotijah,berguna banget apkasi nya,2023-06-10 11:28:53,5
Esti,puas belanja di Lazada,2023-06-10 11:28:35,5
JAKA SEDENG,"baru mulai pake lzd seperti nya bagus, Dan setelah mulai coba belanja ter nyata bagus banget banyak Voucher nya dan gratis ongkir, Semoga kedepan nya makin bagus",2023-06-10 11:27:09,5
Septian69,pengiriman nya lama bgt,2023-06-10 11:21:59,1
joko assyafi,"pilihan kurir hanya ada 1 , itupun super lama . auto uninstall kerja sama bank juga terbatas..",2023-06-10 11:20:16,1
Soleh 12,bagus,2023-06-10 11:20:12,1
Bayu Cjr,sangat bagus,2023-06-10 11:19:45,5
Nadya Alexa,Ngeselin bgt aplikasinya ngespam mulu ditiap web apapun pasti tb2 muncul dilazada,2023-06-10 11:19:43,1
Maher Dika,kurang lengkap tambah produk zaaa,2023-06-10 11:18:33,5
Agies Variasi,amanah,2023-06-10 11:18:25,5
Ajik Jamu,mantap,2023-06-10 11:17:33,5
Keny Welly,barangnya bagus harganya murah ok punya,2023-06-10 11:16:48,5
Irma Akil sakila,mantap👍,2023-06-10 11:15:21,5
Nur Hadi,lazada pancen okey,2023-06-10 11:15:20,5
Ayra Talita,perlu d bereskan toko2 nakal yg tdk amanah,2023-06-10 11:12:29,5
jasa pengeboran,aku suka,2023-06-10 11:12:00,5
Rifqy Iqy,bagus lh pokok nya,2023-06-10 11:08:35,5
Mul Yana,PESEN 1,2023-06-10 11:07:38,4
Nadhira Azdkya,sangat bagus,2023-06-10 11:07:09,4
Sulys TiaIrawan,padahal lbih suka belanja di lazada tpi kadang ongkir ny yg mahal trus nggk ada voucher nya 😔,2023-06-10 11:07:07,4
Abdul Reza,Anjink2 emng admin nya kok telat baru 3hari bayar masa bunga nya jdi 80 RB sih anjing...ngotak lah anjink GK segitu nya bego,2023-06-10 11:07:01,1
Kevin Wijaya,"Saya hapus gajadi pesan.. karna gabisa COD, masa Pesan barangnya dri Medan ke Perbatasan Aceh gabisa COD",2023-06-10 11:06:25,1
nanik isnawati,lumayan,2023-06-10 11:06:09,5
Meiliana Santi,Ko UMP Rp Bu Lusi kami cp hmm,2023-06-10 11:05:35,3
Yonza YT,"banyak diskon,aturannya simpel,bisa cod,mantapp",2023-06-10 10:59:05,5
Fuji Sekarayu,PUJI💛HADIGATENGAYANGAKU,2023-06-10 10:59:01,2
Nazwa Abizhar,mantap,2023-06-10 10:56:52,5
Mamah Elah,lazada oke banget memudahkan berbelanja,2023-06-10 10:56:45,5
Karlina Ai,"Ga tau kenapa di aplikasi lazada saya sekarang ga ada voucher gratis ongkir nya, udah d klik d halaman voucher gratis ongkir ga ada, pas checkout jg ga ada, padhal belanja hampir tiap hari, jadi males sekarang menggunakan aplikasi ini 😤",2023-06-10 10:56:20,2
Milamila09 Milamila09,mantap,2023-06-10 10:55:16,5
Gpenk aja,menyenangkan,2023-06-10 10:54:38,5
Fransiska Putri Mentari,menarik,2023-06-10 10:54:23,5
Siti Juleha,sering2 kasih ongkir gratis y lazada my love love lh buat lazada 🥰🥰🥰🥰🥰🥰🥰😘😘😘😘😘😘😍😍😍😍🤩🤩🤩🤩🤩,2023-06-10 10:54:01,5
Akew Setiawan,Good like this,2023-06-10 10:51:40,5
Hartono,"saya sudah memesan barang tatapi alamat salah dan nomer telepon, mau saya ubah kok gak bisa sihhh bngsat",2023-06-10 10:45:29,1
Ronni Andreas,mantap,2023-06-10 10:43:49,5
Arsila Dr,bagus bangetttt,2023-06-10 10:43:48,5
Nazhua Mahirah,mantap,2023-06-10 10:41:34,5
Baetulloh Versi8,cukup untuk keprluan,2023-06-10 10:38:46,3
Djunias,cakep👍,2023-06-10 10:37:33,5
Taupik,sangat sangat membantu,2023-06-10 10:37:30,5
Heru Sanjaya,"Kurang memuaskan, pengiriman pake kurir Lex id lemot. Jangan pake Lex id",2023-06-10 10:32:36,1
Dhani Hakim,senang Belanja disini bgs2,2023-06-10 10:31:14,5
Aris Juanda,Mantapppp,2023-06-10 10:30:55,5
Mei nur Tyas,gppomqhpsgtt lo klk. kao5,2023-06-10 10:26:38,1
Lasmi 123,4 dulu soalnya baru pesan tar klo dah dateng baru kasih bintang 8,2023-06-10 10:26:31,4
Shobiba Rodiyah,"pernah ketipu belanja di Lazada,semoga tidak terjadi lagi",2023-06-10 10:25:23,4
Ficky Aditama,mantap,2023-06-10 10:24:42,5
kadek wira,Hdg,2023-06-10 10:24:35,2
Abdillah Rafkha,mantep,2023-06-10 10:21:41,5
Bayu Saputra,aplikasi ini sangat bagus,2023-06-10 10:20:19,5
Itin Kasim,mantaf,2023-06-10 10:18:34,5
ER Chanel,selama ini selslu beli online sopp di lazada semoga selelu memuaskan,2023-06-10 10:15:41,5
